Time_s,Altitude_m,Velocity_ms,Mass_kg,Weight_N,Thrust_N,Drag_N,Acceleration_ms2,Temp_K,Press_Pa,Density_kgm3,Speed_of_Sound_ms,Mach_Number,Mass_Flow_Rate_kgs
70.7,59441.7106348696,951.111882748572,16478.2736609426,158677.122725307,110000,1598.21798450943,-3.05100775386327,247.013210222365,79.7361014512798,0.00112474202173561,315.039533816545,3.01902390225865,24.2706664725013
70.8,59536.8218231445,950.806781973186,16475.8465942953,158649.058229567,110000,1579.42053197866,-3.04861291795088,246.746898895195,78.7638543902235,0.00111222681325642,314.869661885818,3.01968368841447,24.2706664725013
70.9,59631.9025013418,950.501920681391,16473.4195276481,158620.996829877,110000,1560.85023345276,-3.04623135343014,246.480672996243,77.8036778447743,0.00109985481160671,314.699752796043,3.02034530448904,24.2706664725013
71,59726.9526934099,950.197297546048,16470.9924610008,158592.938524086,110000,1542.50426648867,-3.0438628946788,246.214532458452,76.8554190346522,0.00108762433241927,314.529806444169,3.02100875045277,24.2706664725013
71.1,59821.9724231645,949.89291125658,16468.5653943536,158564.883310051,110000,1524.37984478169,-3.04150737817187,245.948477215139,75.9189271538522,0.00107553371169467,314.359822727147,3.02167402633082,24.2706664725013
71.2,59916.9617142902,949.588760518763,16466.1383277063,158536.831185635,110000,1506.47421768649,-3.03916464245398,245.682507199987,74.9940533445458,0.00106358130554772,314.189801541926,3.02234113220269,24.2706664725013
71.3,60011.9205903421,949.284844054518,16463.7112610591,158508.782148711,110000,1488.7846697448,-3.03683452811229,245.416622347042,74.0806506713372,0.00105176548995717,314.019742785452,3.02301006820166,24.2706664725013
71.4,60106.8490747475,948.981160601706,16461.2841944118,158480.736197157,110000,1471.30852021951,-3.03451687774964,245.150822590707,73.1785740958669,0.00104008466051867,313.849646354661,3.02368083451438,24.2706664725013
71.5,60201.7471908077,948.677708913931,16458.8571277646,158452.693328859,110000,1454.04312263532,-3.03221153595814,244.885107865739,72.2876804517618,0.00102853723220086,313.67951214648,3.02435343138038,24.2706664725013
71.6,60296.6149616991,948.374487760335,16456.4300611173,158424.653541712,110000,1436.98586432568,-3.02991834929311,244.619478107243,71.4078284199232,0.00101712163910459,313.50934005782,3.02502785909162,24.2706664725013
71.7,60391.4524104751,948.071495925406,16454.0029944701,158396.616833617,110000,1420.13416598598,-3.02763716624735,244.35393325067,70.53887850415,0.00100583633422531,313.339129985578,3.02570411799204,24.2706664725013
71.8,60486.2595600676,947.768732208781,16451.5759278228,158368.58320248,110000,1403.48548123286,-3.02536783722577,244.088473231811,69.6806930070917,0.000994679789218362,313.16888182663,3.02638220847711,24.2706664725013
